tweets,attitude,clean_tweets,final_tweets,label
"@TxCompleted I think Id be lying it I put anything, cause even something Im attached to, Id probably sell for the right price.",pos,"@TxCompleted I think Id be lying it I put anything, cause even something Im attached to, Id probably sell for the right price.",TxCompleted I think Id lying I put anything cause even something Im attached Id probably sell right price,0
"RT @Nanda__OCE: 🎁@satoshinftclub WHITELIST &amp; ETH GIVEAWAY🎁

🏆20x Whitelist Spots @satoshinftclub🏆
🏆2x $25USD in ETH GA🏆

1️⃣ Follow @satosh…",pos," 🎁@satoshinftclub WHITELIST &amp; ETH GIVEAWAY🎁

🏆20x Whitelist Spots @satoshinftclub🏆
🏆2x $25USD in ETH GA🏆

1️⃣ Follow @satosh…",satoshinftclub WHITELIST amp ETH GIVEAWAYx Whitelist Spots satoshinftclubx USD ETH GA Follow satosh,0
wl Notice Minting @eleven_eth @cryptobrighton @2609Avnish @TyMoneyDT @ln2661223 @CerealKills_NFT @abdullahshn58… https://t.co/SlrCWqrMJ4,pos,wl Notice Minting @eleven_eth @cryptobrighton @2609Avnish @TyMoneyDT @ln2661223 @CerealKills_NFT @abdullahshn58… https://t.co/SlrCWqrMJ4,wl Notice Minting eleveneth cryptobrighton Avnish TyMoneyDT ln CerealKillsNFT abdullahshn,0
"RT @MatCote3: @MoonlitMonkey69 @THORmaximalist @THORChain You own 100 eth @ 2000$ : 200 000$
You borrow 100k and buy 50 more eth
Eth value…",pos," @MoonlitMonkey69 @THOmaximalist @THOChain You own 100 eth @ 2000$ : 200 000$
You borrow 100k and buy 50 more eth
Eth value…",MoonlitMonkey THOmaximalist THOChain You eth You borrow k buy ethEth value,0
"RT @BlockBet_: Did you know: On average, 900 $BTC ($17 million) are mined ⛏ daily. 

#BlockBet #Bitcoin #Crypto #NFTs #Eth https://t.co/Hk4…",neg," Did you know: On average, 900 $BTC ($17 million) are mined ⛏ daily. 

#BlockBet #Bitcoin #Crypto #NFTs #Eth https://t.co/Hk4…",Did know On average BTC million mined daily,1
RT @EclecticMethod: OK feel like I’m gonna do an open edition in about 12 hours for 0.01 ETH for just an hour or so,pos, OK feel like I’m gonna do an open edition in about 12 hours for 0.01 ETH for just an hour or so,OK feel like Im gonna open edition hour ETH hour,0
"RT @NeofiOfficial: It's been days since the merge and there have been speculations on what's next for #Ethereum.👌

While some think this wi…",pos," It's been days since the merge and there have been speculations on what's next for #Ethereum.👌

While some think this wi…",Its day since merge speculation whats next think wi,0
$BTC looking like its about to take a gigachad dump. https://t.co/gs8hnIkbbE,pos,$BTC looking like its about to take a gigachad dump. https://t.co/gs8hnIkbbE,BTC looking like take gigachad dump,0
WL Designated @PostikaValentin @Ezekiel_SS @vincentisok @slattoshi @lhlalalala @hui20170754 @0xxxdlwlrma @eptunaaaa… https://t.co/8dqqkUw7e5,pos,WL Designated @PostikaValentin @Ezekiel_SS @vincentisok @slattoshi @lhlalalala @hui20170754 @0xxxdlwlrma @eptunaaaa… https://t.co/8dqqkUw7e5,WL Designated PostikaValentin EzekielSS vincentisok slattoshi lhlalalala hui xxxdlwlrma eptunaaaa,0
RT @scalper432: Closed all shorts #eth $eth #NFTCommunity #ethereum,neg, Closed all shorts #eth $eth #NFTCommunity #ethereum,Closed short eth,1
i want this new nft.. @POOZ94467983 @csammartino22 @Gallery576 @Ragnar6316 @DegenDen_eth @SAHAND_AG @almightycoins… https://t.co/fTT5zYcxe0,pos,i want this new nft.. @POOZ94467983 @csammartino22 @Gallery576 @agnar6316 @DegenDen_eth @SAHAND_AG @almightycoins… https://t.co/fTT5zYcxe0,want new nft POOZ csammartino Gallery agnar DegenDeneth SAHANDAG almightycoins,0
"#NFTs #NFT #Crypto #BNB #Eth #Sol

Want to Make a quick 25 bucks Use my referral link:
https://t.co/YOQvhIG6l4 to s… https://t.co/91u8dfRHIs",pos,"#NFTs #NFT #Crypto #BNB #Eth #Sol

Want to Make a quick 25 bucks Use my referral link:
https://t.co/YOQvhIG6l4 to s… https://t.co/91u8dfHIs",Make quick buck Use referral,0
"RT @0xHustler: I’ll pay someone’s rent on 10/1/22 who likes &amp; retweets this tweet within the next 96 hours. Paid in $ETH.

Winner must be f…",pos," I’ll pay someone’s rent on 10/1/22 who likes &amp; retweets this tweet within the next 96 hours. Paid in $ETH.

Winner must be f…",Ill pay someone rent like amp retweets tweet within next hour Paid ETHWinner must f,0
